,Country,Link,Desired_Table,Total_Men,Total_Women
0,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Shooting    1      0      1
2   Swimming    1      0      1
3  Taekwondo    1      0      1
4      Total    4      1      5",4,1
1,Albania,https://en.wikipedia.org/wiki/Albania_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      1      2
1     Gymnastics    1      0      1
2           Judo    1      0      1
3       Shooting    0      1      1
4       Swimming    1      1      2
5  Weightlifting    2      0      2
6          Total    6      3      9",6,3
2,Algeria,https://en.wikipedia.org/wiki/Algeria_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    4      1      5
1          Boxing    5      3      8
2        Canoeing    0      1      1
3         Cycling    2      0      2
4         Fencing    2      2      4
5            Judo    1      1      2
6          Karate    0      1      1
7          Rowing    2      0      2
8         Sailing    1      1      2
9        Shooting    0      1      1
10       Swimming    1      2      3
11   Table tennis    1      0      1
12  Weightlifting    1      0      1
13      Wrestling    8      0      8
14          Total   28     13     41",28,13
3,American Samoa,https://en.wikipedia.org/wiki/American_Samoa_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1        Sailing    2      0      2
2       Swimming    1      1      2
3  Weightlifting    1      0      1
4          Total    5      1      6",5,1
4,Andorra,https://en.wikipedia.org/wiki/Andorra_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Canoeing    0      1      1
2      Total    1      1      2",1,1
5,Angola,https://en.wikipedia.org/wiki/Angola_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Handball    0     14     14
2       Judo    0      1      1
3    Sailing    2      0      2
4   Swimming    1      1      2
5      Total    4     16     20",4,16
6,Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1     Boxing    1      0      1
2    Sailing    0      1      1
3   Swimming    1      1      2
4      Total    3      3      6",3,3
7,Argentina,https://en.wikipedia.org/wiki/Argentina_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0           Athletics    3      2      5
1          Basketball   12      0     12
2              Boxing    4      1      5
3            Canoeing    3      1      4
4             Cycling    2      1      3
5          Equestrian    4      0      4
6             Fencing    0      1      1
7        Field hockey   18     18     36
8            Football   22      0     22
9                Golf    0      1      1
10         Gymnastics    0      1      1
11           Handball   16      0     16
12               Judo    1      1      2
13  Modern pentathlon    1      0      1
14             Rowing    0      2      2
15       Rugby sevens   13      0     13
16            Sailing    4      7     11
17           Shooting    2      2      4
18            Surfing    1      0      1
19           Swimming    1      4      5
20       Table tennis    2      0      2
21          Taekwondo    1      0      1
22             Tennis    6      1      7
23          Triathlon    0      1      1
24         Volleyball   14     14     28
25          Wrestling    1      0      1
26              Total  131     58    189",131,58
8,Aruba,https://en.wikipedia.org/wiki/Aruba_at_the_2020_Summer_Olympics,"      Sport  Men  Women  Total
0  Shooting    1      0      1
1  Swimming    1      1      2
2     Total    2      1      3",2,1
9,Australia,https://en.wikipedia.org/wiki/Australia_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    3      1      4
1   Artistic swimming    —      8      8
2           Athletics   28     35     63
3           Badminton    1      3      4
4          Basketball   12     12     24
5              Boxing    3      2      5
6            Canoeing    8      9     17
7             Cycling   15     14     29
8              Diving    3      4      7
9          Equestrian    4      5      9
10       Field hockey   18     18     36
11           Football   22     22     44
12               Golf    2      2      4
13         Gymnastics    2      9     11
14               Judo    1      2      3
15             Karate    1      0      1
16  Modern pentathlon    1      1      2
17             Rowing   20     18     38
18       Rugby sevens   12     12     24
19            Sailing    7      6     13
20           Shooting    8      7     15
21      Skateboarding    3      2      5
22           Softball    —     15     15
23     Sport climbing    1      1      2
24            Surfing    2      2      4
25           Swimming   18     19     37
26       Table tennis    3      3      6
27          Taekwondo    2      2      4
28             Tennis    5      5     10
29          Triathlon    3      3      6
30         Volleyball    2      2      4
31         Water polo   13     13     26
32      Weightlifting    2      3      5
33              Total  225    259    484",225,259
10,Austria,https://en.wikipedia.org/wiki/Austria_at_the_2020_Summer_Olympics,"                Sport Men  Women  Total
0   Artistic swimming   —      2      2
1           Athletics   3      4      7
2           Badminton   1      0      1
3            Canoeing   1      5      6
4             Cycling   6      2      8
5          Equestrian   2      3      5
6                Golf   2      1      3
7          Gymnastics   0      1      1
8                Judo   2      4      6
9              Karate   0      1      1
10  Modern pentathlon   1      0      1
11             Rowing   0      3      3
12            Sailing   3      3      6
13           Shooting   1      1      2
14      Skateboarding   0      1      1
15     Sport climbing   1      1      2
16           Swimming   5      2      7
17       Table tennis   3      3      6
18             Tennis   2      0      2
19          Triathlon   2      2      4
20      Weightlifting   1      1      2
21              Total  36     39     75",36,39
11,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan_at_the_2020_Summer_Olympics,"         Sport  Men  Women  Total
0    Athletics    1      1      2
1    Badminton    1      0      1
2       Boxing    5      0      5
3      Cycling    1      0      1
4      Fencing    0      1      1
5   Gymnastics    1      7      8
6         Judo    7      2      9
7       Karate    2      1      3
8     Shooting    2      0      2
9     Swimming    1      1      2
10   Taekwondo    1      1      2
11   Triathlon    1      0      1
12   Wrestling    5      2      7
13       Total   28     16     44",28,16
12,Bahamas,https://en.wikipedia.org/wiki/Bahamas_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    5      8     13
1   Swimming    1      1      2
2      Total    6      9     15",6,9
13,Bahrain,https://en.wikipedia.org/wiki/Bahrain_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    9      5     14
1     Boxing    1      0      1
2   Handball   14      0     14
3   Shooting    0      1      1
4   Swimming    1      1      2
5      Total   25      7     32",25,7
14,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0    Archery    1      1      2
1  Athletics    1      0      1
2   Shooting    1      0      1
3   Swimming    1      1      2
4      Total    4      2      6",4,2
15,Barbados,https://en.wikipedia.org/wiki/Barbados_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    3      3      6
1   Swimming    1      1      2
2      Total    4      4      8",4,4
16,Belarus,https://en.wikipedia.org/wiki/Belarus_at_the_2020_Summer_Olympics,"                Sport Men  Women  Total
0             Archery   0      3      3
1   Artistic swimming   —      2      2
2           Athletics  12     18     30
3              Boxing   4      0      4
4            Canoeing   6     10     16
5             Cycling   2      2      4
6          Equestrian   2      0      2
7          Gymnastics   3      7     10
8                Judo   2      1      3
9   Modern pentathlon   1      2      3
10             Rowing   2      3      5
11            Sailing   1      1      2
12           Shooting   1      2      3
13           Swimming   4      2      6
14             Tennis   2      1      3
15      Weightlifting   1      1      2
16          Wrestling   5      3      8
17              Total  48     58    106",48,58
17,Belize,https://en.wikipedia.org/wiki/Belize_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Canoeing    1      0      1
2      Total    2      1      3",2,1
18,Benin,https://en.wikipedia.org/wiki/Benin_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      2      3
1       Judo    1      0      1
2     Rowing    1      0      1
3   Swimming    1      1      2
4      Total    4      3      7",4,3
19,Bermuda,https://en.wikipedia.org/wiki/Bermuda_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0     Rowing    1      0      1
1  Triathlon    0      1      1
2      Total    1      1      2",1,1
20,Bhutan,https://en.wikipedia.org/wiki/Bhutan_at_the_2020_Summer_Olympics,"      Sport  Men  Women  Total
0   Archery    0      1      1
1      Judo    1      0      1
2  Shooting    0      1      1
3  Swimming    1      0      1
4     Total    2      2      4",2,2
21,Bolivia,https://en.wikipedia.org/wiki/Bolivia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Swimming    1      1      2
2     Tennis    1      0      1
3      Total    3      2      5",3,2
22,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    2      0      2
1       Judo    0      1      1
2   Shooting    0      1      1
3   Swimming    1      1      2
4  Taekwondo    1      0      1
5      Total    4      3      7",4,3
23,Brazil,https://en.wikipedia.org/wiki/Brazil_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      1      2
1           Athletics   33     20     53
2           Badminton    1      1      2
3              Boxing    4      3      7
4            Canoeing    4      1      5
5             Cycling    3      2      5
6              Diving    2      2      4
7          Equestrian    7      0      7
8             Fencing    1      1      2
9            Football   18     18     36
10         Gymnastics    5      7     12
11           Handball   14     14     28
12               Judo    7      6     13
13  Modern pentathlon    0      1      1
14             Rowing    1      0      1
15       Rugby sevens    0     12     12
16            Sailing    7      6     13
17           Shooting    1      0      1
18      Skateboarding    6      6     12
19            Surfing    2      2      4
20           Swimming   16     11     27
21       Table tennis    3      3      6
22          Taekwondo    2      1      3
23             Tennis    4      2      6
24          Triathlon    1      2      3
25         Volleyball   16     16     32
26      Weightlifting    0      2      2
27          Wrestling    1      2      3
28              Total  160    142    302",160,142
24,British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Swimming    0      1      1
2      Total    1      2      3",1,2
25,Brunei,https://en.wikipedia.org/wiki/Brunei_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    1      0      1
2      Total    2      0      2",2,0
26,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    1      4      5
1       Badminton    0      3      3
2          Boxing    1      2      3
3        Canoeing    0      1      1
4      Gymnastics    1      7      8
5            Judo    2      1      3
6          Karate    0      1      1
7        Shooting    0      3      3
8        Swimming    4      1      5
9    Table tennis    0      1      1
10  Weightlifting    2      0      2
11      Wrestling    3      4      7
12          Total   14     28     42",14,28
27,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1    Cycling    1      0      1
2       Judo    1      0      1
3   Swimming    1      1      2
4  Taekwondo    1      0      1
5      Total    5      2      7",5,2
28,Burundi,https://en.wikipedia.org/wiki/Burundi_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    2      1      3
1     Boxing    0      1      1
2   Swimming    1      1      2
3      Total    3      3      6",3,3
29,Cambodia,https://en.wikipedia.org/wiki/Cambodia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    1      1      2
2      Total    2      1      3",2,1
30,Cameroon,https://en.wikipedia.org/wiki/Cameroon_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1         Boxing    3      0      3
2           Judo    0      2      2
3       Swimming    1      1      2
4   Table tennis    0      1      1
5  Weightlifting    0      2      2
6      Wrestling    0      1      1
7          Total    5      7     12",5,7
31,Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde_at_the_2020_Summer_Olympics,"        Sport  Men  Women  Total
0   Athletics    1      0      1
1      Boxing    1      0      1
2  Gymnastics    0      1      1
3        Judo    0      1      1
4    Swimming    1      1      2
5       Total    3      3      6",3,3
32,Cayman Islands,https://en.wikipedia.org/wiki/Cayman_Islands_at_the_2020_Summer_Olympics,"        Sport  Men  Women  Total
0   Athletics    1      1      2
1  Gymnastics    0      1      1
2    Swimming    1      1      2
3       Total    2      3      5",2,3
33,Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    0      1      1
2      Total    1      1      2",1,1
34,Chad,https://en.wikipedia.org/wiki/Chad_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0    Archery    0      1      1
1  Athletics    1      0      1
2       Judo    0      1      1
3      Total    1      2      3",1,2
35,Chile,https://en.wikipedia.org/wiki/Chile_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      0      1
1           Athletics    2      1      3
2            Canoeing    0      2      2
3             Cycling    1      2      3
4          Equestrian    1      1      2
5             Fencing    0      1      1
6            Football    0     22     22
7                Golf    2      0      2
8          Gymnastics    1      1      2
9                Judo    0      1      1
10  Modern pentathlon    1      0      1
11             Rowing    2      0      2
12            Sailing    1      0      1
13           Shooting    0      1      1
14      Skateboarding    0      1      1
15            Surfing    1      0      1
16           Swimming    1      1      2
17       Table tennis    0      1      1
18          Taekwondo    0      1      1
19             Tennis    1      0      1
20          Triathlon    1      1      2
21         Volleyball    2      0      2
22      Weightlifting    1      1      2
23          Wrestling    1      0      1
24              Total   20     38     58",20,38
36,Chinese Taipei,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0         Archery    3      3      6
1       Athletics    5      1      6
2       Badminton    4      1      5
3          Boxing    0      4      4
4        Canoeing    0      1      1
5         Cycling    1      0      1
6      Equestrian    0      1      1
7            Golf    1      2      3
8      Gymnastics    4      1      5
9            Judo    1      2      3
10         Karate    1      1      2
11         Rowing    0      1      1
12       Shooting    2      3      5
13       Swimming    2      1      3
14   Table tennis    3      3      6
15      Taekwondo    2      2      4
16         Tennis    1      4      5
17  Weightlifting    3      4      7
18          Total   33     35     68",33,35
